,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales +,595,732,711,"1,194"
Expenses +,495,596,595,952
Operating Profit,100,136,116,242
OPM %,17%,19%,16%,20%
Other Income +,2,2,4,1
Interest,21,17,17,20
Depreciation,14,23,33,53
Profit before tax,66,99,70,171
Tax %,42%,37%,62%,37%
Net Profit,39,62,27,108
EPS in Rs,"3,947.58",4.06,1.77,3.57
