,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,22,22,22,22,24,24,24,24,26,26
Reserves,169,182,409,408,408,409,907,899,890,850,"1,077","1,158"
Borrowings +,298,426,565,705,817,821,912,"1,077","1,206","3,077","4,117","4,230"
Other Liabilities +,597,803,570,554,538,596,793,"1,169","1,368",985,"1,178",953
Total Liabilities,"1,083","1,430","1,565","1,690","1,785","1,848","2,636","3,170","3,489","4,936","6,397","6,367"
Fixed Assets +,103,298,379,373,384,604,577,564,556,"2,282","2,238","2,206"
CWIP,282,417,450,509,551,313,617,"1,224","1,685","1,927","2,389","2,425"
Investments,42,9,1,1,2,8,324,149,8,1,3,62
Other Assets +,656,706,735,807,848,923,"1,118","1,233","1,239",726,"1,768","1,674"
Total Assets,"1,083","1,430","1,565","1,690","1,785","1,848","2,636","3,170","3,489","4,936","6,397","6,367"
