,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,647,647,647,647,647,647,647,647,647
Reserves,"-1,499","-1,957","-2,159","-2,286","-2,119","-1,138",-827,-458,-162
Borrowings +,"1,119","1,856","2,402","2,278","2,274","1,821","1,822","1,838","1,830"
Other Liabilities +,"1,451","1,174",715,"1,215","1,547","1,316","1,756","2,269","2,589"
Total Liabilities,"1,718","1,720","1,605","1,854","2,348","2,646","3,399","4,296","4,904"
Fixed Assets +,330,314,297,295,296,299,286,335,324
CWIP,25,22,25,18,18,39,55,44,68
Investments,4,4,46,59,69,78,86,98,111
Other Assets +,"1,359","1,381","1,238","1,482","1,966","2,229","2,972","3,819","4,401"
Total Assets,"1,718","1,720","1,605","1,854","2,348","2,646","3,399","4,296","4,904"
