,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,476","2,614","2,417","1,884","3,076","3,369"
Expenses +,"2,229","2,402","2,245","1,780","2,698","2,939"
Operating Profit,247,212,172,104,379,430
OPM %,10%,8%,7%,6%,12%,13%
Other Income +,76,28,21,31,28,2
Interest,59,57,46,38,50,53
Depreciation,107,101,101,96,121,123
Profit before tax,157,83,46,2,236,256
Tax %,28%,29%,40%,276%,36%,
Net Profit,113,58,28,-4,150,165
EPS in Rs,6.92,3.56,1.69,-0.22,9.17,10.06
