,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,15,15,15,15,15,15,15,15,15,15
Reserves,84,94,80,63,65,103,117,127,131,133,139,152,159
Borrowings +,11,26,28,22,4,37,16,79,69,109,98,113,129
Other Liabilities +,6,14,10,12,24,52,40,57,41,33,31,41,43
Total Liabilities,116,149,134,112,108,207,188,278,256,290,282,320,346
Fixed Assets +,16,46,39,18,18,20,20,22,30,28,15,15,151
CWIP,16,21,26,27,26,0,0,0,1,21,61,108,0
Investments,46,42,40,29,9,59,72,72,74,71,72,75,75
Other Assets +,37,40,28,37,55,129,96,185,151,170,134,122,120
Total Assets,116,149,134,112,108,207,188,278,256,290,282,320,346
