,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,24,24,26,26,27,27
Reserves,6,48,204,333,"1,151","1,301"
Borrowings +,0,9,68,119,149,134
Other Liabilities +,46,77,105,275,497,413
Total Liabilities,76,158,402,753,"1,824","1,875"
Fixed Assets +,27,57,163,361,699,814
CWIP,0,2,5,40,42,0
Investments,0,0,0,76,135,134
Other Assets +,49,99,234,276,948,927
Total Assets,76,158,402,753,"1,824","1,875"
