,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,294,284,283,415,514
Expenses +,253,249,233,379,479
Operating Profit,40,34,50,37,35
OPM %,14%,12%,18%,9%,7%
Other Income +,-1,1,4,1,1
Interest,5,4,2,5,9
Depreciation,8,8,9,12,13
Profit before tax,26,23,44,21,14
Tax %,30%,2%,27%,30%,
Net Profit,18,23,32,15,8
EPS in Rs,14.88,18.98,26.78,16.10,11.61
