,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Share Capital +,50,50,50,50,50,50
Reserves,238,-128,-56,130,82,-22
Borrowings +,"1,079",167,156,175,192,187
Other Liabilities +,937,"1,188",400,144,112,80
Total Liabilities,"2,304","1,278",550,499,436,295
Fixed Assets +,"1,488",154,130,209,216,185
CWIP,0,1,3,1,0,0
Investments,7,7,7,7,7,7
Other Assets +,809,"1,115",410,281,212,103
Total Assets,"2,304","1,278",550,499,436,295
