,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,104,107,12,14,141,145,145,145,145,141,141,138,138
Reserves,117,264,408,467,368,571,667,712,719,683,810,875,900
Borrowings +,249,231,152,211,243,85,74,172,342,365,518,698,661
Other Liabilities +,312,206,199,170,196,201,187,246,222,277,405,568,424
Total Liabilities,682,706,770,861,939,"1,003","1,073","1,275","1,427","1,466","1,874","2,279","2,123"
Fixed Assets +,189,206,210,251,274,227,296,352,462,472,741,959,913
CWIP,23,28,43,50,10,18,7,60,38,18,28,9,8
Investments,1,33,41,0,0,35,50,96,97,97,1,1,11
Other Assets +,470,438,476,559,655,722,720,767,830,879,"1,103","1,309","1,191"
Total Assets,682,706,770,861,939,"1,003","1,073","1,275","1,427","1,466","1,874","2,279","2,123"
