,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,55,61,63,63,64,64,64
Reserves,"3,059","3,266","3,511","1,436",757,-11,-50
Borrowings +,"4,006","3,867","3,727","3,151","3,122","2,498","2,494"
Other Liabilities +,"1,875","1,632","1,528","1,167","1,699","1,315","1,299"
Total Liabilities,"8,939","8,827","8,829","5,818","5,642","3,866","3,807"
Fixed Assets +,"5,885","5,756","5,739","3,745","3,558","2,313","2,266"
CWIP,29,24,90,6,3,6,6
Investments,261,2,0,0,0,305,305
Other Assets +,"2,764","3,045","2,999","2,067","2,082","1,242","1,231"
Total Assets,"8,939","8,827","8,829","5,818","5,642","3,866","3,807"
