,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,14,14,14,29,28,28,27,27,27,27
Reserves,35,57,81,98,97,115,140,147,149,167,190
Borrowings +,27,45,42,43,17,14,10,18,21,45,47
Other Liabilities +,12,20,20,20,25,34,35,35,28,40,39
Total Liabilities,88,135,157,176,168,191,214,227,226,279,304
Fixed Assets +,33,70,77,85,81,92,103,99,94,151,161
CWIP,0,0,1,2,0,2,2,0,31,1,1
Investments,8,1,2,2,3,5,7,10,10,13,15
Other Assets +,46,64,77,87,84,92,102,119,90,114,126
Total Assets,88,135,157,176,168,191,214,227,226,279,304
