,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,0,10,10,10
Reserves,8,15,153,193,186
Borrowings +,0,10,4,4,4
Other Liabilities +,15,9,19,12,11
Total Liabilities,24,34,186,219,211
Fixed Assets +,1,1,4,10,10
CWIP,0,0,0,0,0
Investments,0,0,0,33,53
Other Assets +,23,33,182,175,149
Total Assets,24,34,186,219,211
