,Mar 2021,Mar 2022,TTM
Sales +,"2,671","3,666","4,139"
Expenses +,"2,251","3,110","3,458"
Operating Profit,420,556,681
OPM %,16%,15%,16%
Other Income +,36,34,37
Interest,2,2,2
Depreciation,58,57,64
Profit before tax,396,531,652
Tax %,25%,26%,
Net Profit,298,395,483
EPS in Rs,60.21,79.89,97.74
