,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,1,1,1,1,13,17,17,17,17,17
Reserves,10,19,24,31,35,32,51,49,63,75,81
Borrowings +,1,0,0,10,18,1,0,5,4,11,13
Other Liabilities +,3,8,8,9,20,8,12,10,19,24,21
Total Liabilities,14,28,34,50,73,53,81,82,103,128,132
Fixed Assets +,4,4,3,2,24,2,1,11,9,8,11
CWIP,0,0,0,2,9,0,0,0,1,1,0
Investments,0,7,8,22,5,14,15,8,5,2,2
Other Assets +,10,17,23,24,35,38,64,62,88,117,120
Total Assets,14,28,34,50,73,53,81,82,103,128,132
