,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,590","1,692","2,139","1,944","2,243","2,577"
Expenses +,"1,476","1,556","1,996","1,700","2,031","2,374"
Operating Profit,114,135,143,244,212,203
OPM %,7%,8%,7%,13%,9%,8%
Other Income +,6,7,5,6,13,18
Interest,11,12,17,13,7,1
Depreciation,28,37,49,51,52,57
Profit before tax,80,93,82,186,166,163
Tax %,29%,33%,39%,32%,20%,
Net Profit,57,63,50,126,133,132
EPS in Rs,173.72,11.27,8.96,21.60,22.32,22.13
