,Mar 2011,Mar 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9.12,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84
Reserves,23.48,73.03,74.05,74.83,74.83,75.21,76.10,76.17,76.51,75.61,75.67,74.97,74.03
Borrowings +,5.94,0.30,0.14,2.02,2.77,3.48,4.39,4.86,6.74,6.52,6.25,4.47,4.20
Other Liabilities +,19.63,17.63,6.41,20.01,12.64,20.72,24.39,61.04,46.87,29.18,35.38,34.88,35.87
Total Liabilities,58.17,106.80,96.44,112.70,106.08,115.25,120.72,157.91,145.96,127.15,133.14,130.16,129.94
Fixed Assets +,15.87,26.12,30.31,39.77,24.54,29.62,27.89,26.40,25.34,24.05,26.18,25.33,57.13
CWIP,2.39,3.48,6.37,0.00,11.30,25.41,28.84,29.93,29.93,29.93,32.19,32.19,0.00
Investments,0.14,0.19,0.22,0.11,0.11,0.11,0.06,0.07,0.07,0.05,0.05,0.05,0.06
Other Assets +,39.77,77.01,59.54,72.82,70.13,60.11,63.93,101.51,90.62,73.12,74.72,72.59,72.75
Total Assets,58.17,106.80,96.44,112.70,106.08,115.25,120.72,157.91,145.96,127.15,133.14,130.16,129.94
