,Mar 2014,Mar 2015,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,50,56,85,95,106,131,130
Expenses +,43,47,77,90,105,116,119
Operating Profit,6,8,8,5,1,15,11
OPM %,13%,15%,9%,5%,1%,11%,9%
Other Income +,0,0,2,2,2,2,2
Interest,1,1,0,0,0,0,1
Depreciation,1,2,1,2,3,4,7
Profit before tax,5,6,8,4,-0,12,5
Tax %,33%,33%,29%,29%,41%,28%,
Net Profit,3,4,6,3,-0,9,2
EPS in Rs,1.85,2.12,2.26,1.12,-0.09,3.54,0.96
