,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,15,15,15,14,14,14
Reserves,167,194,236,245,"1,048","1,244","1,370"
Borrowings +,27,58,36,53,0,0,0
Other Liabilities +,231,250,343,395,789,731,"1,029"
Total Liabilities,434,516,629,707,"1,852","1,989","2,413"
Fixed Assets +,69,97,112,145,194,184,179
CWIP,0,8,12,5,2,5,12
Investments,14,12,55,64,288,468,390
Other Assets +,351,400,450,494,"1,369","1,332","1,832"
Total Assets,434,516,629,707,"1,852","1,989","2,413"
