,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,22,22,43,43
Reserves,80,141,192,255
Borrowings +,7,17,50,37
Other Liabilities +,182,218,197,246
Total Liabilities,290,398,483,581
Fixed Assets +,12,12,31,30
CWIP,0,0,0,0
Investments,1,1,1,1
Other Assets +,277,385,451,550
Total Assets,290,398,483,581
