,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,33,33,33,33,43,43,33,36,37,37,45,45,33
Reserves,118,126,65,46,-16,-30,-49,-58,-75,-81,-110,-127,-87
Borrowings +,145,157,185,184,174,151,123,113,110,109,106,104,84
Other Liabilities +,45,54,52,62,42,77,53,76,86,103,124,142,109
Total Liabilities,342,371,336,325,232,230,160,164,155,164,154,152,139
Fixed Assets +,144,140,146,136,49,40,30,28,25,19,17,11,4
CWIP,1,16,2,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,2,3,2,2,2,2
Other Assets +,197,215,187,189,183,190,130,134,127,143,135,139,133
Total Assets,342,371,336,325,232,230,160,164,155,164,154,152,139
