,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,362,164,689,911,"1,267","1,623"
Expenses +,318,142,587,781,"1,119","1,443"
Operating Profit,44,22,102,130,149,180
OPM %,12%,13%,15%,14%,12%,11%
Other Income +,2,0,4,7,11,10
Interest,11,3,10,5,3,7
Depreciation,10,10,50,51,19,19
Profit before tax,25,9,45,81,137,165
Tax %,27%,-1%,17%,25%,25%,
Net Profit,25,9,38,61,103,124
EPS in Rs,17.02,5.64,22.09,35.29,59.88,71.97
