,Mar 2021,Mar 2022,Sep 2022
Share Capital +,43,43,43
Reserves,134,136,138
Borrowings +,30,13,38
Other Liabilities +,70,120,140
Total Liabilities,277,313,359
Fixed Assets +,10,8,8
CWIP,0,0,0
Investments,14,14,14
Other Assets +,253,290,337
Total Assets,277,313,359
