,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,989,"1,213","1,091","1,301","1,399"
Expenses +,802,983,852,"1,047","1,155"
Operating Profit,188,230,240,254,244
OPM %,19%,19%,22%,20%,17%
Other Income +,1,14,6,12,16
Interest,16,16,4,7,8
Depreciation,17,22,26,25,26
Profit before tax,155,205,215,234,227
Tax %,28%,23%,24%,25%,
Net Profit,112,158,164,176,171
EPS in Rs,262.48,371.03,385.69,423.51,411.56
