,Dec 2005,Dec 2012,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,22,31,31,31,31,31,31,31
Reserves,204,223,220,220,136,167,-641,-281
Borrowings +,191,840,904,815,812,995,"1,062","1,191"
Other Liabilities +,65,214,197,236,279,464,949,243
Total Liabilities,483,"1,308","1,352","1,302","1,257","1,657","1,402","1,184"
Fixed Assets +,342,397,406,403,330,367,355,347
CWIP,22,494,543,620,682,844,646,607
Investments,0,1,0,1,29,3,3,3
Other Assets +,119,415,403,279,216,443,397,226
Total Assets,483,"1,308","1,352","1,302","1,257","1,657","1,402","1,184"
