,Mar 2020,Mar 2021,Mar 2022
Sales +,807,"1,215","1,728"
Expenses +,773,"1,164","1,653"
Operating Profit,34,51,75
OPM %,4%,4%,4%
Other Income +,0,0,0
Interest,10,11,15
Depreciation,3,4,5
Profit before tax,22,37,55
Tax %,25%,25%,26%
Net Profit,17,27,41
EPS in Rs,7.49,12.31,18.21
