,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,40,40,56,64,73
Reserves,"3,348","3,130","2,800","5,893","9,314"
Borrowings +,411,755,"1,098","1,102","1,090"
Other Liabilities +,303,471,698,"1,192","1,171"
Total Liabilities,"4,063","4,357","4,598","8,251","11,647"
Fixed Assets +,488,744,"1,053","3,052","3,199"
CWIP,1,32,77,60,111
Investments,"1,155","1,188","1,128","2,091","1,712"
Other Assets +,"2,419","2,394","2,340","3,048","6,625"
Total Assets,"4,063","4,357","4,598","8,251","11,647"
