,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,318,341,347,354,320,277,290,290,308,289,220,-211,-256
Borrowings +,234,409,524,594,709,320,67,174,190,291,374,408,411
Other Liabilities +,373,306,286,239,231,193,180,169,206,146,135,172,195
Total Liabilities,934,"1,067","1,167","1,197","1,269",800,547,643,714,737,739,380,360
Fixed Assets +,180,271,277,304,300,196,143,137,128,167,120,119,110
CWIP,11,46,72,43,46,2,2,2,12,7,2,0,0
Investments,0,0,0,0,0,15,18,4,14,28,35,1,1
Other Assets +,743,749,818,849,923,587,384,500,561,534,582,260,250
Total Assets,934,"1,067","1,167","1,197","1,269",800,547,643,714,737,739,380,360
