,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12.10,12.10,12.10,13.42,13.42,18.62,13.42
Reserves,78.07,76.31,74.90,80.85,75.47,79.56,86.49
Borrowings +,0.00,0.00,45.61,68.47,83.31,82.97,92.63
Other Liabilities +,11.00,13.76,16.56,28.16,27.05,38.98,30.89
Total Liabilities,101.17,102.17,149.17,190.90,199.25,214.93,223.43
Fixed Assets +,22.78,21.43,108.91,106.06,109.72,118.01,119.03
CWIP,0.60,0.00,0.05,0.00,0.00,1.22,0.33
Investments,28.53,2.04,1.09,5.39,4.48,6.74,24.98
Other Assets +,49.26,78.70,39.12,79.45,85.05,88.96,79.09
Total Assets,101.17,102.17,149.17,190.90,199.25,214.93,223.43
