,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,148,148,148,148,170,170
Reserves,790,832,756,690,963,992
Borrowings +,807,846,739,727,543,529
Other Liabilities +,"1,540","1,528","1,759","1,719","2,060","1,819"
Total Liabilities,"3,285","3,353","3,403","3,284","3,736","3,510"
Fixed Assets +,30,60,81,76,82,82
CWIP,0,8,0,0,0,0
Investments,346,296,99,36,39,50
Other Assets +,"2,909","2,989","3,223","3,172","3,614","3,378"
Total Assets,"3,285","3,353","3,403","3,284","3,736","3,510"
