,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,30,30,30,30,30,30,30,30,30,30,30
Reserves,"2,385","2,713","3,332","4,362","5,606","7,145","8,811","10,504","11,192","12,416","13,424"
Borrowings +,"2,729","3,118","3,842","4,594","5,552","8,717","6,198","1,278","1,021",815,720
Other Liabilities +,"8,697","5,378","8,877","11,956","12,943","7,643","13,803","18,916","11,230","10,655","10,286"
Total Liabilities,"13,840","11,238","16,081","20,941","24,131","23,535","28,841","30,728","23,473","23,916","24,459"
Fixed Assets +,69,168,264,"1,287","1,199","1,289","1,452","1,521","1,447","1,449","1,759"
CWIP,0,0,0,62,88,5,2,1,12,6,28
Investments,3,13,60,841,919,"1,020","1,088","1,142","1,041","1,113","1,209"
Other Assets +,"13,767","11,056","15,756","18,752","21,925","21,221","26,300","28,064","20,973","21,348","21,464"
Total Assets,"13,840","11,238","16,081","20,941","24,131","23,535","28,841","30,728","23,473","23,916","24,459"
