,Mar 2018,TTM
Sales +,247,241
Expenses +,108,131
Operating Profit,139,111
OPM %,56%,46%
Other Income +,12,5
Interest,17,30
Depreciation,30,48
Profit before tax,104,38
Tax %,34%,
Net Profit,70,25
EPS in Rs,22.34,8.93
