,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,42,42,42,42,42,42,42,42,42
Reserves,602,612,450,348,310,281,244,214,174
Borrowings +,106,99,77,80,73,29,33,20,2
Other Liabilities +,53,41,31,20,21,15,15,10,20
Total Liabilities,803,794,601,490,446,367,334,286,238
Fixed Assets +,328,471,337,260,227,155,134,79,41
CWIP,25,5,0,0,0,0,0,0,0
Investments,0,0,11,10,13,13,13,13,13
Other Assets +,450,318,253,220,207,200,188,194,184
Total Assets,803,794,601,490,446,367,334,286,238
