,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Share Capital +,50,64,64,124,197
Reserves,31,878,838,"2,171","2,111"
Borrowings +,316,353,260,"1,786","2,321"
Other Liabilities +,674,620,545,798,"1,150"
Total Liabilities,"1,071","1,915","1,707","4,878","5,779"
Fixed Assets +,8,103,68,"1,292","2,840"
CWIP,0,1,0,"1,689",954
Investments,0,0,0,0,92
Other Assets +,"1,063","1,811","1,639","1,898","1,893"
Total Assets,"1,071","1,915","1,707","4,878","5,779"
