,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Sales +,334,314,347,578,351,233
Expenses +,282,260,297,534,376,246
Operating Profit,52,53,49,44,-25,-13
OPM %,16%,17%,14%,8%,-7%,-6%
Other Income +,-44,4,104,6,27,-45
Interest,20,22,20,30,24,24
Depreciation,28,29,29,39,43,34
Profit before tax,-39,6,105,-19,-66,-116
Tax %,-7%,27%,1%,6%,12%,10%
Net Profit,-42,4,104,-18,-58,-104
EPS in Rs,-0.83,0.09,2.07,-0.35,-1.16,-2.07
