,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,13,13
Reserves,280,300,307,346,366
Borrowings +,114,113,147,201,231
Other Liabilities +,147,160,133,149,195
Total Liabilities,554,586,600,710,806
Fixed Assets +,381,393,383,489,543
CWIP,49,56,81,64,60
Investments,0,0,0,0,0
Other Assets +,124,137,136,157,203
Total Assets,554,586,600,710,806
