,Mar 2014,Mar 2015,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,26,26,41,41
Reserves,300,309,339,456,449
Borrowings +,49,63,60,204,279
Other Liabilities +,76,87,82,109,137
Total Liabilities,451,485,508,794,906
Fixed Assets +,175,207,199,398,426
CWIP,12,2,41,58,86
Investments,55,67,73,65,65
Other Assets +,209,209,195,273,329
Total Assets,451,485,508,794,906
