,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,12,12
Reserves,378,626,696
Borrowings +,30,23,9
Other Liabilities +,97,131,205
Total Liabilities,517,792,921
Fixed Assets +,124,174,193
CWIP,12,44,55
Investments,9,17,14
Other Assets +,372,557,658
Total Assets,517,792,921
