,Mar 2012,Mar 2013,Mar 2014
Share Capital +,32,32,33
Reserves,170,190,325
Borrowings +,308,339,0
Other Liabilities +,362,440,110
Total Liabilities,872,"1,002",467
Fixed Assets +,319,335,137
CWIP,6,5,6
Investments,14,14,7
Other Assets +,533,648,317
Total Assets,872,"1,002",467
