,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,81,81,81,81,81,81,81,81,241
Reserves,200,289,340,452,554,574,656,"2,002","1,894"
Borrowings +,91,62,74,56,51,123,114,387,440
Other Liabilities +,52,59,31,94,31,54,79,219,244
Total Liabilities,424,492,527,683,718,832,930,"2,689","2,819"
Fixed Assets +,212,205,230,219,208,198,463,"1,452","1,656"
CWIP,5,18,13,29,127,241,5,359,212
Investments,43,90,101,164,196,211,236,1,1
Other Assets +,165,178,183,271,186,182,226,876,950
Total Assets,424,492,527,683,718,832,930,"2,689","2,819"
