,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11,11,11
Reserves,341,404,449,525,660,687
Borrowings +,184,223,210,124,206,259
Other Liabilities +,137,169,149,176,234,177
Total Liabilities,673,808,820,837,"1,111","1,135"
Fixed Assets +,68,70,74,85,91,99
CWIP,2,2,14,15,52,69
Investments,3,6,6,5,5,4
Other Assets +,599,730,725,733,963,964
Total Assets,673,808,820,837,"1,111","1,135"
