,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Share Capital +,29,29,29,29,29,29,29
Reserves,326,332,339,345,369,418,557
Borrowings +,144,253,272,252,230,181,187
Other Liabilities +,146,133,155,146,141,171,221
Total Liabilities,644,746,794,771,769,799,993
Fixed Assets +,460,434,632,609,574,569,579
CWIP,31,131,0,0,12,30,48
Investments,0,0,0,0,0,0,0
Other Assets +,153,181,162,162,183,201,366
Total Assets,644,746,794,771,769,799,993
