,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2019
Share Capital +,71,71,74,81,83,88,90,90,90,90,90,90,90
Reserves,166,-53,-33,-24,-339,-400,-398,-476,-587,-888,-986,"-1,048",-987
Borrowings +,"1,039","1,086","1,000",944,"1,005","1,028",771,742,877,570,808,821,314
Other Liabilities +,347,307,295,366,394,403,339,401,361,645,342,382,814
Total Liabilities,"1,623","1,411","1,336","1,367","1,143","1,119",801,757,741,417,254,244,230
Fixed Assets +,944,939,817,760,746,667,231,235,222,208,163,153,148
CWIP,48,29,29,30,32,34,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,239,244,260,20,0,0,0
Other Assets +,631,443,490,576,365,418,331,278,259,189,91,91,82
Total Assets,"1,623","1,411","1,336","1,367","1,143","1,119",801,757,741,417,254,244,230
