,Mar 2015,Mar 2016
Share Capital +,12,12
Reserves,175,183
Borrowings +,38,28
Other Liabilities +,133,134
Total Liabilities,358,357
Fixed Assets +,87,80
CWIP,3,12
Investments,0,2
Other Assets +,268,263
Total Assets,358,357
