,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,11,11
Reserves,117,187,203,193,384,397
Borrowings +,57,32,29,32,7,3
Other Liabilities +,110,73,100,65,90,107
Total Liabilities,290,298,338,296,491,518
Fixed Assets +,86,64,70,96,91,90
CWIP,53,5,0,0,8,14
Investments,23,122,116,23,65,79
Other Assets +,128,107,152,177,327,336
Total Assets,290,298,338,296,491,518
