,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,31.70,31.70,31.70,31.70,31.70,31.70,31.70,31.70,31.70,31.70,31.70,31.70,31.70
Reserves,233.70,251.45,295.32,301.22,302.37,248.21,231.97,220.64,216.62,214.40,212.12,209.52,208.06
Borrowings +,75.68,117.07,144.61,159.34,161.59,175.40,184.15,184.12,184.12,184.13,182.50,180.88,181.59
Other Liabilities +,148.16,160.61,209.51,280.15,328.59,381.56,368.39,364.10,372.67,373.22,367.04,369.15,374.09
Total Liabilities,489.24,560.83,681.14,772.41,824.25,836.87,816.21,800.56,805.11,803.45,793.36,791.25,795.44
Fixed Assets +,7.65,7.65,13.41,11.80,10.64,10.01,9.26,8.62,8.11,7.66,7.25,7.09,6.86
CWIP,5.84,6.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.00,13.22,5.36,4.90,4.90,4.90,4.29,4.29,4.29,4.29,0.00,0.00,0.00
Other Assets +,475.75,533.28,662.37,755.71,808.71,821.96,802.66,787.65,792.71,791.50,786.11,784.16,788.58
Total Assets,489.24,560.83,681.14,772.41,824.25,836.87,816.21,800.56,805.11,803.45,793.36,791.25,795.44
