,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Sales +,180,193,226,216,170
Expenses +,158,168,200,192,150
Operating Profit,22,24,26,24,20
OPM %,12%,13%,11%,11%,12%
Other Income +,0,0,0,1,1
Interest,4,5,6,6,6
Depreciation,3,3,4,4,4
Profit before tax,15,16,16,15,11
Tax %,23%,26%,28%,28%,28%
Net Profit,11,12,11,11,8
EPS in Rs,1.45,1.56,1.47,1.38,1.03
