,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,10,11,11,11,12,12,12,12,12,12,12,12
Reserves,106,120,131,145,163,200,222,359,383,335,328,311,319
Borrowings +,66,77,104,171,204,222,265,348,383,441,437,478,540
Other Liabilities +,33,43,44,53,95,110,120,191,140,117,126,142,158
Total Liabilities,215,250,290,380,473,544,619,910,917,904,903,943,"1,029"
Fixed Assets +,46,48,66,66,67,75,87,97,114,125,187,194,197
CWIP,3,9,0,4,6,9,8,25,10,11,8,8,9
Investments,43,41,41,39,38,38,43,127,123,47,38,6,0
Other Assets +,123,151,184,272,362,422,481,661,670,721,669,735,823
Total Assets,215,250,290,380,473,544,619,910,917,904,903,943,"1,029"
