,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,241,393,419,512,685,867
Expenses +,167,257,234,253,385,518
Operating Profit,74,137,186,260,300,349
OPM %,31%,35%,44%,51%,44%,40%
Other Income +,5,11,11,25,30,19
Interest,1,0,0,0,0,0
Depreciation,8,11,14,17,25,30
Profit before tax,70,137,182,267,305,338
Tax %,30%,28%,23%,26%,25%,
Net Profit,49,98,140,198,228,251
EPS in Rs,345.41,689.84,"1,051.67",18.68,21.51,23.65
