,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Sales +,410,484,469,434,536,563,585,566
Expenses +,407,475,474,463,503,574,506,510
Operating Profit,3,9,-5,-28,33,-11,79,56
OPM %,1%,2%,-1%,-7%,6%,-2%,14%,10%
Other Income +,8,1,7,6,17,16,6,9
Interest,3,5,6,4,3,6,7,5
Depreciation,8,11,9,9,10,10,11,11
Profit before tax,0,-7,-13,-35,37,-11,67,49
Tax %,763%,33%,36%,5%,-3%,49%,33%,37%
Net Profit,-3,6,1,-31,45,-6,45,31
EPS in Rs,-0.75,0.66,0.09,-3.60,5.22,-0.68,5.13,3.46
