,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,16,17,17,17,17,17,17,17,17
Reserves,194,206,231,244,251,277,324,340,382,431
Borrowings +,700,634,562,561,538,472,321,227,262,402
Other Liabilities +,203,223,231,237,265,220,190,162,220,224
Total Liabilities,"1,112","1,079","1,041","1,059","1,072",986,852,746,881,"1,075"
Fixed Assets +,530,516,485,486,460,418,374,338,314,319
CWIP,9,10,8,6,5,0,1,1,29,42
Investments,1,1,1,2,3,3,3,3,3,3
Other Assets +,572,552,547,564,604,565,474,405,534,710
Total Assets,"1,112","1,079","1,041","1,059","1,072",986,852,746,881,"1,075"
