,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,2,2,2,2,2,2,2,2,2,2,2,2,2
Reserves,59,74,84,90,98,105,110,120,128,136,141,160,167
Borrowings +,1,0,0,0,0,0,0,0,0,0,1,1,0
Other Liabilities +,30,33,30,35,35,37,33,38,50,45,41,41,44
Total Liabilities,92,109,117,127,135,144,145,160,180,183,185,204,214
Fixed Assets +,34,42,50,55,57,58,61,57,55,54,56,54,51
CWIP,2,5,3,3,2,6,2,2,5,4,1,1,5
Investments,19,12,15,19,21,14,15,22,36,36,37,64,66
Other Assets +,37,50,49,51,55,66,67,79,84,89,90,85,91
Total Assets,92,109,117,127,135,144,145,160,180,183,185,204,214
