,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0.02,0.02,5.99,5.99,11.97,11.97,11.97,11.97
Reserves,0.67,3.74,22.37,30.33,37.82,45.76,54.33,61.78
Borrowings +,0.35,4.49,3.46,5.53,11.76,14.23,10.00,4.48
Other Liabilities +,3.91,7.95,9.53,10.26,10.17,11.89,9.93,19.69
Total Liabilities,4.95,16.20,41.35,52.11,71.72,83.85,86.23,97.92
Fixed Assets +,0.64,5.62,9.69,8.76,58.64,56.46,55.05,57.55
CWIP,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Investments,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Other Assets +,4.31,10.58,31.66,43.35,13.08,27.39,31.18,40.37
Total Assets,4.95,16.20,41.35,52.11,71.72,83.85,86.23,97.92
