,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Sales +,194,91,2,1,0,0,0
Expenses +,194,101,9,8,20,15,2
Operating Profit,-0,-10,-7,-7,-20,-14,-2
OPM %,-0%,-12%,-446%,-791%,"-203,000%","-3,732%",
Other Income +,1,15,2,3,20,1,0
Interest,1,4,10,38,47,22,22
Depreciation,0,0,0,0,0,0,0
Profit before tax,0,1,-16,-42,-48,-35,-24
Tax %,625%,34%,0%,0%,0%,0%,0%
Net Profit,-0,0,-16,-42,-48,-35,-24
EPS in Rs,-0.02,0.03,-1.11,-3.03,-1.51,-1.11,-0.76
