,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11
Reserves,54,69,111,101
Borrowings +,514,610,700,465
Other Liabilities +,252,203,342,144
Total Liabilities,831,893,"1,164",721
Fixed Assets +,137,128,119,148
CWIP,1,3,112,97
Investments,4,4,4,4
Other Assets +,689,759,929,473
Total Assets,831,893,"1,164",721
