,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,19,20,22,27,27,24
Reserves,84,116,165,198,261,342,360
Borrowings +,217,225,189,175,180,257,379
Other Liabilities +,166,139,188,212,167,133,151
Total Liabilities,481,495,560,604,632,758,914
Fixed Assets +,85,136,138,129,129,153,334
CWIP,54,5,10,19,29,166,111
Investments,25,33,34,36,26,5,7
Other Assets +,317,321,377,420,448,433,461
Total Assets,481,495,560,604,632,758,914
