,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,110,110,110,110,110,110,110,110,110,110,110,110,114
Reserves,"17,617","19,362","21,286","23,647","25,618","13,268","14,026","14,979","14,646","16,837","17,049","20,329","31,438"
Borrowings +,"32,960","69,479","69,332","71,980","83,571","19,169","20,846","17,637","11,243","12,419","16,227","41,604","41,191"
Other Liabilities +,"12,868","18,010","21,143","22,365","21,420","9,132","12,630","23,679","16,537","17,509","18,231","39,543","50,348"
Total Liabilities,"63,555","106,960","111,871","118,102","130,718","41,679","47,611","56,405","42,536","46,875","51,617","101,586","123,091"
Fixed Assets +,"17,466","37,735","48,770","70,579","83,834","10,473","13,668","10,555","9,020","10,476","10,838","30,123","44,048"
CWIP,"25,361","37,221","29,248","13,574","6,733","7,705","7,731","5,526","5,765","7,347","8,825","23,544","15,037"
Investments,334,542,323,288,744,805,"1,042","1,461","1,511","1,952","5,503","4,292","4,831"
Other Assets +,"20,394","31,463","33,529","33,661","39,407","22,696","25,170","38,864","26,240","27,099","26,451","43,627","59,176"
Total Assets,"63,555","106,960","111,871","118,102","130,718","41,679","47,611","56,405","42,536","46,875","51,617","101,586","123,091"
