,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6
Reserves,164,172,185,196
Borrowings +,0,4,13,35
Other Liabilities +,19,40,46,72
Total Liabilities,189,223,250,309
Fixed Assets +,33,41,47,102
CWIP,0,3,32,9
Investments,39,40,43,46
Other Assets +,117,138,128,153
Total Assets,189,223,250,309
