,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,18,18,18,18,18,18,18,18,18,18,18,18
Reserves,349,375,389,365,329,402,394,424,516,513,433,422,460
Borrowings +,248,322,313,347,348,317,322,313,243,228,253,280,268
Other Liabilities +,96,110,108,105,141,82,75,72,75,69,67,66,97
Total Liabilities,711,825,828,835,836,819,809,827,852,828,771,786,842
Fixed Assets +,322,498,514,533,537,407,391,376,395,396,372,355,385
CWIP,117,11,19,17,5,4,4,17,2,2,5,0,2
Investments,81,89,91,96,100,238,235,259,289,272,248,252,267
Other Assets +,191,226,203,190,194,170,179,175,167,158,146,179,189
Total Assets,711,825,828,835,836,819,809,827,852,828,771,786,842
