,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,893,945,986,702,"1,011","1,225"
Expenses +,838,900,960,646,936,"1,155"
Operating Profit,55,45,26,55,75,70
OPM %,6%,5%,3%,8%,7%,6%
Other Income +,10,13,10,17,16,16
Interest,3,3,2,0,1,2
Depreciation,21,19,18,15,17,19
Profit before tax,41,36,17,57,73,66
Tax %,30%,13%,-32%,19%,20%,
Net Profit,29,31,22,46,59,52
EPS in Rs,30.56,33.48,23.69,49.51,62.50,55.46
