,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,29.52,37.02,37.02,39.34,39.39,39.39,39.39,39.39,39.39,39.39
Reserves,79.74,116.69,125.86,19.41,63.92,78.95,96.13,95.57,93.67,93.26
Borrowings +,92.13,147.96,158.97,78.60,102.58,121.65,119.04,144.92,108.21,95.52
Other Liabilities +,28.02,50.18,57.35,103.55,70.78,76.16,90.25,83.90,177.66,246.29
Total Liabilities,229.41,351.85,379.20,240.90,276.67,316.15,344.81,363.78,418.93,474.46
Fixed Assets +,32.31,33.07,33.36,34.63,33.99,31.72,30.64,38.22,36.23,34.74
CWIP,0.00,0.00,0.00,22.30,0.00,0.00,0.00,0.00,0.00,0.00
Investments,6.95,6.93,9.59,9.58,6.41,4.69,6.14,7.44,71.34,74.89
Other Assets +,190.15,311.85,336.25,174.39,236.27,279.74,308.03,318.12,311.36,364.83
Total Assets,229.41,351.85,379.20,240.90,276.67,316.15,344.81,363.78,418.93,474.46
