,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,86,86,86,86,86,86,114,114,114,114,114
Reserves,"4,065","2,111","1,643","1,510",-96,"-1,914","-4,288","-6,438","-5,324","-6,619","-7,253"
Borrowings +,"12,618","16,909","14,418","12,644","13,282","11,427","10,577","11,903","10,813","9,078","8,403"
Other Liabilities +,"4,683","4,113","4,520","6,154","7,278","9,087","11,140","12,109","12,312","10,341","11,742"
Total Liabilities,"21,452","23,219","20,667","20,395","20,549","18,686","17,541","17,687","17,914","12,914","13,006"
Fixed Assets +,"15,985","18,167","16,328","15,510","15,671","12,662","10,817","9,234","8,807","4,897","3,609"
CWIP,"1,303",657,333,32,2,0,0,19,4,709,25
Investments,10,100,100,80,2,2,666,670,"1,179","1,283",837
Other Assets +,"4,154","4,294","3,906","4,773","4,874","6,022","6,058","7,764","7,924","6,025","8,535"
Total Assets,"21,452","23,219","20,667","20,395","20,549","18,686","17,541","17,687","17,914","12,914","13,006"
