,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,78,92,121,99,60,105,127
Expenses +,72,81,105,92,58,96,109
Operating Profit,6,11,16,8,2,9,18
OPM %,8%,12%,13%,8%,3%,9%,14%
Other Income +,1,0,1,1,1,1,1
Interest,1,0,1,1,1,1,1
Depreciation,0,1,2,4,4,3,4
Profit before tax,6,10,13,4,-3,6,15
Tax %,33%,39%,27%,47%,13%,23%,
Net Profit,4,6,10,2,-2,5,12
EPS in Rs,16.22,17.64,28.89,2.27,-2.30,4.50,12.01
