,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,0,5,5,5,14,14,14,14,14,14
Reserves,6,16,17,2,7,24,31,33,32,40,46
Borrowings +,16,15,16,13,21,14,18,22,23,27,27
Other Liabilities +,26,27,36,38,19,18,19,64,35,51,45
Total Liabilities,49,57,73,58,52,70,82,133,104,132,132
Fixed Assets +,16,15,13,11,8,9,9,8,8,10,11
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,1,2
Other Assets +,33,42,61,47,44,61,73,125,96,122,119
Total Assets,49,57,73,58,52,70,82,133,104,132,132
