,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,10,10
Reserves,200,270,354,458,490
Borrowings +,146,161,141,183,230
Other Liabilities +,56,46,41,62,69
Total Liabilities,406,482,541,713,799
Fixed Assets +,259,272,268,370,487
CWIP,3,10,9,34,9
Investments,69,55,28,54,84
Other Assets +,76,146,236,255,220
Total Assets,406,482,541,713,799
